Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	SumItems	TotalProb	DropChance	Term
Act 1 (N) Unique C	15	107	-3					0	Act 1 (N) Uitem C	2	Act 1 (N) Cpot C	4																				0
Act 2 (N) Unique A	15	109	-3					0	Act 2 (N) Uitem A	2	Act 2 (N) Cpot A	4																				0
Act 2 (N) Unique B	15	114	-3					0	Act 2 (N) Uitem B	2	Act 2 (N) Cpot B	4																				0
Act 2 (N) Unique C	15	117	-3					0	Act 2 (N) Uitem C	2	Act 2 (N) Cpot C	4																				0
Act 3 (N) Unique A	15	120	-3					0	Act 3 (N) Uitem A	2	Act 3 (N) Cpot A	4																				0
Act 3 (N) Unique B	15	125	-3					0	Act 3 (N) Uitem B	2	Act 3 (N) Cpot B	4																				0
Act 3 (N) Unique C	15	130	-3					0	Act 3 (N) Uitem C	2	Act 3 (N) Cpot C	4																				0
Act 4 (N) Unique A	15	133	-3					0	Act 4 (N) Uitem A	2	Act 4 (N) Cpot A	4																				0
Act 4 (N) Unique B	15	140	-3					0	Act 4 (N) Uitem B	2	Act 4 (N) Cpot B	4																				0
Act 5 (N) Unique A	15	148	-3					0	Act 5 (N) Uitem A	2	Act 5 (N) Cpot A	4																				0
Act 5 (N) Unique B	15	156	-3					0	Act 5 (N) Uitem B	2	Act 5 (N) Cpot B	4																				0
Act 5 (N) Unique C	15	161	-3					0	Act 5 (N) Uitem C	2	Act 5 (N) Cpot C	4																				0
Act 1 (H) Unique A	15	164	-3					0	Act 1 (H) Uitem A	2	Act 1 (H) Cpot A	4																				0
Act 1 (H) Unique B	15	172	-3					0	Act 1 (H) Uitem B	2	Act 1 (H) Cpot B	4																				0
Act 1 (H) Unique C	15	177	-3					0	Act 1 (H) Uitem C	2	Act 1 (H) Cpot C	4																				0
Act 2 (H) Unique A	15	179	-3					0	Act 2 (H) Uitem A	2	Act 2 (H) Cpot A	4																				0
Act 2 (H) Unique B	15	185	-3					0	Act 2 (H) Uitem B	2	Act 2 (H) Cpot B	4																				0
Act 2 (H) Unique C	15	187	-3					0	Act 2 (H) Uitem C	2	Act 2 (H) Cpot C	4																				0
Act 3 (H) Unique A	15	192	-3					0	Act 3 (H) Uitem A	2	Act 3 (H) Cpot A	4																				0
Act 3 (H) Unique B	15	195	-3					0	Act 3 (H) Uitem B	2	Act 3 (H) Cpot B	4																				0
Act 3 (H) Unique C	15	200	-3					0	Act 3 (H) Uitem C	2	Act 3 (H) Cpot C	4																				0
Act 4 (H) Unique A	15	203	-3					0	Act 4 (H) Uitem A	2	Act 4 (H) Cpot A	4																				0
Act 4 (H) Unique B	15	208	-3					0	Act 4 (H) Uitem B	2	Act 4 (H) Cpot B	4																				0
Act 5 (H) Unique A	15	211	-3					0	Act 5 (H) Uitem A	2	Act 5 (H) Cpot A	4																				0
Act 5 (H) Unique B	15	216	-3					0	Act 5 (H) Uitem B	2	Act 5 (H) Cpot B	4																				0
Act 5 (H) Unique C	15	221	-3					0	Act 5 (H) Uitem C	2	Act 5 (H) Cpot C	4																				0
Quill 1	16	0	1					125	gld	38	Act 1 Junk	38																				0
Quill 2	16	10	1					125	gld	38	Act 1 Junk	38																				0
Quill 3	16	19	1					125	gld	38	Act 1 Junk	38	Act 1 Good	2																		0
Quill 4	16	29	1					125	gld	38	Act 1 Junk	38	Act 1 Good	2																		0
Quill 5	16	48	1					125	gld	38	Act 3 Junk	38	Act 3 Good	2																		0
Quill 1 (N)	16	77	1					125	gld	38	Act 1 (N) Junk	38																				0
Quill 2 (N)	16	84	1					125	gld	38	Act 1 (N) Junk	38	Act 1 (N) Good	2																		0
Quill 3 (N)	16	91	1					125	gld	38	Act 1 (N) Junk	38	Act 1 (N) Good	2																		0
Quill 4 (N)	16	96	1					125	gld	38	Act 1 (N) Junk	38	Act 1 (N) Good	2																		0
Quill 5 (N)	16	110	1					125	gld	38	Act 3 (N) Junk	38	Act 3 (N) Good	2																		0
Quill 1 (H)	16	144	1					125	gld	38	Act 1 (H) Junk	38																				0
Quill 2 (H)	16	149	1					125	gld	38	Act 1 (H) Junk	38	Act 1 (H) Good	6																		0
Quill 3 (H)	16	156	1					125	gld	38	Act 1 (H) Junk	38	Act 1 (H) Good	6																		0
Quill 4 (H)	16	163	1					125	gld	38	Act 1 (H) Junk	38	Act 1 (H) Good	6																		0
Quill 5 (H)	16	204	1					125	gld	38	Act 3 (H) Junk	38	Act 3 (H) Good	6																		0
Swarm 1	17	0	1					125	Potion 2	24	Misc 1	12	Act 2 Good	2	Act 2 Magic A	6																0
Swarm 2	17	48	1					125	Potion 3	24	Misc 2	12	Act 3 Good	2	Act 3 Magic A	6																0
Swarm 1 (N)	17	96	1					125	Potion 6	24	Misc 2	12	Act 2 (N) Good	2	Act 2 (N) Magic A	6																0
Swarm 2 (N)	17	110	1					125	Potion 6	24	Misc 2	12	Act 3 (N) Good	2	Act 3 (N) Magic A	6																0
Swarm 1 (H)	17	163	1					125	Potion 6	24	Misc 2	12	Act 2 (H) Good	2	Act 2 (H) Magic A	6																0
Swarm 2 (H)	17	178	1					125	Potion 6	24	Misc 2	12	Act 3 (H) Good	2	Act 3 (H) Magic A	6																0
Andariel			7	1024	983	983	800	19	"gld,mul=1280"	22	Act 2 Equip A	38	Act 2 Junk	30	Act 2 Good	3																0
Andariel (N)			7	1024	983	983	800	19	"gld,mul=1536"	22	Act 2 (N) Equip A	38	Act 2 (N) Junk	30	Act 2 (N) Good	3																0
Andariel (H)			7	1024	983	983	800	19	"gld,mul=2048"	22	Act 2 (H) Equip A	38	Act 2 (H) Junk	30	Act 2 (H) Good	3																0
Andarielq			7	1024	995	1024	800	19	Act 2 Equip A	38	Act 2 Good	6																				0
Andarielq (N)			7	1024	995	1024	800	19	Act 2 (N) Equip A	38	Act 2 (N) Good	6																				0
Andarielq (H)			7	1024	995	1024	800	19	Act 2 (H) Equip A	38	Act 2 (H) Good	6																				0
Duriel - Base			7	1024	993	1024	800	15	"gld,mul=1280"	10	Act 3 Equip A	104	Act 3 Junk	10	Act 3 Good	3																0
Duriel (N) - Base			7	1024	993	1024	800	15	"gld,mul=1536"	10	Act 3 (N) Equip A	104	Act 3 (N) Junk	10	Act 3 (N) Good	3																0
Duriel (H) - Base			7	1024	993	1024	800	15	"gld,mul=2048"	10	Act 3 (H) Equip A	104	Act 3 (H) Junk	10	Act 3 (H) Good	3																0
Durielq - Base			7	1024	993	1024	800	15	Act 3 Equip A	104	Act 3 Good	6																				0
Durielq (N) - Base			7	1024	993	1024	800	15	Act 3 (N) Equip A	104	Act 3 (N) Good	6																				0
Durielq (H) - Base			7	1024	993	1024	800	15	Act 3 (H) Equip A	104	Act 3 (H) Good	6																				0
Radament			5	900	900	900	1024	19	"gld,mul=1280"	22	Act 3 Equip B	38	Act 3 Junk	30	Act 3 Good	3																0
Radament (N)			5	900	900	900	1024	19	"gld,mul=1536"	22	Act 3 (N) Equip B	38	Act 3 (N) Junk	30	Act 3 (N) Good	3																0
Radament (H)			5	900	900	900	1024	19	"gld,mul=2048"	22	Act 3 (H) Equip C	38	Act 3 (H) Junk	30	Act 3 (H) Good	3																0
Flying Scimitar			1					100	Act 2 Good	6	scm	114																				0
Flying Scimitar (N)			1					100	Act 2 (N) Good	6	scm	50	9sm	64																		0
Flying Scimitar (H)			1					100	Act 2 (H) Good	6	scm	14	9sm	36	7sm	32																0
Mephisto			7	1024	983	983	800	15	"gld,mul=1280"	10	Act 4 Equip A	104	Act 4 Junk	10	Act 4 Good	3																0
Mephisto (N)			7	1024	983	983	800	15	"gld,mul=1536"	10	Act 4 (N) Equip A	104	Act 4 (N) Junk	10	Act 4 (N) Good	3																0
Mephisto (H)			7	1024	983	983	800	15	"gld,mul=2048"	10	Act 4 (H) Equip A	104	Act 4 (H) Junk	10	Act 4 (H) Good	3																0
Mephistoq			7	1024	993	1024	800	15	Act 4 Equip A	104	Act 4 Good	6																				0
Mephistoq (N)			7	1024	993	1024	800	15	Act 4 (N) Equip A	104	Act 4 (N) Good	6																				0
Mephistoq (H)			7	1024	993	1024	800	15	Act 4 (H) Equip A	104	Act 4 (H) Good	6																				0
Diablo			7	1024	983	983	800	15	"gld,mul=1280"	10	Act 5 Equip A	104	Act 5 Junk	10	Act 5 Good	3																0
Diablo (N)			7	1024	983	983	800	15	"gld,mul=1536"	10	Act 5 (N) Equip A	104	Act 5 (N) Junk	10	Act 5 (N) Good	3																0
Diablo (H)			7	1024	983	983	800	15	"gld,mul=2048"	10	Act 5 (H) Equip A	104	Act 5 (H) Junk	10	Act 5 (H) Good	3																0
Diabloq			7	1024	993	1024	800	15	Act 5 Equip A	104	Act 5 Good	6																				0
Diabloq (N)			7	1024	993	1024	800	15	Act 5 (N) Equip A	104	Act 5 (N) Good	6																				0
Diabloq (H)			7	1024	993	1024	800	15	Act 5 (H) Equip A	104	Act 5 (H) Good	6																				0
Summoner			5	900	900	972	800	19	"gld,mul=1280"	18	Act 2 Equip C	30	Act 3 Junk	10	Act 2 Good	3	Act 3 Magic A	4														0
Summoner (N)			5	900	900	972	1024	19	"gld,mul=1536"	18	Act 2 (N) Equip C	30	Act 3 (N) Junk	10	Act 2 (N) Good	3	Act 3 (N) Magic A	4														0
Summoner (H)			5	900	900	972	1024	19	"gld,mul=2048"	18	Act 2 (H) Equip C	30	Act 3 (H) Junk	10	Act 2 (H) Good	3	Act 3 (H) Magic A	4														0
Council			3	650	800	800	1024	19	"gld,mul=1280"	18	Act 4 Equip A	30	Act 4 Junk	10	Act 4 Good	3	Act 4 Magic A	4														0
Council (N)			3	650	800	800	1024	19	"gld,mul=1536"	18	Act 4 (N) Equip A	30	Act 4 (N) Junk	10	Act 4 (N) Good	3	Act 4 (N) Magic A	4														0
Council (H)			3	650	800	800	1024	19	"gld,mul=2048"	18	Act 4 (H) Equip A	30	Act 4 (H) Junk	10	Act 4 (H) Good	3	Act 4 (H) Magic A	4														0
Griswold			-3					0	Act 1 (N) Uitem C	2	Act 1 (N) Uitem C	4																				0
Griswold (N)			-3					0	Act 1 (H) Uitem C	2	Act 1 (N) Melee B	4																				0
Griswold (H)			-3					0	Act 1 (H) Uitem C	2	Act 1 (H) Melee B	4																				0
Cow			1					100	gld	38	Act 5 Equip A	38	Act 5 Junk	38	Act 5 Good	3																0
Cow (N)			1					100	gld	38	Act 5 (N) Equip A	38	Act 5 (N) Junk	38	Act 5 (N) Good	3																0
Cow (H)			1					100	gld	38	Act 5 (H) Equip B	38	Act 5 (H) Junk	38	Act 5 (H) Good	3																0
Trapped Soul			1					100	gld	38	Act 4 Equip A	16	Act 4 Junk	66																		0
Trapped Soul (N)			1					100	gld	38	Act 4 (N) Equip A	16	Act 4 (N) Junk	66																		0
Trapped Soul (H)			1					100	gld	38	Act 4 (H) Equip A	16	Act 4 (H) Junk	66																		0
Haphesto			5	800	800	900	1024	19	"gld,mul=1280"	28	Act 5 Equip A	38	Act 5 Junk	10	Act 5 Good	3																0
Haphesto (N)			5	800	800	900	1024	19	"gld,mul=1536"	28	Act 5 (N) Equip A	38	Act 5 (N) Junk	10	Act 5 (N) Good	3																0
Haphesto (H)			5	800	800	900	1024	19	"gld,mul=2048"	28	Act 5 (H) Equip A	38	Act 5 (H) Junk	10	Act 5 (H) Good	3																0
Nihlathak			5	900	900	900	1024	19	"gld,mul=1280"	28	Act 5 Equip B	38	Act 5 Junk	10	Act 5 Good	3																0
Nihlathak (N)			5	900	900	900	1024	19	"gld,mul=1536"	28	Act 5 (N) Equip B	38	Act 5 (N) Junk	10	Act 5 (N) Good	3																0
Nihlathak (H)			5	900	900	900	1024	19	"gld,mul=2048"	28	Act 5 (H) Equip B	38	Act 5 (H) Junk	10	Act 5 (H) Good	3																0
Baal			7	2048	983	983	800	15	"gld,mul=1280"	10	Act 1 (N) Equip A	104	Act 1 (N) Junk	10	Act 1 (N) Good	3																0
Baal (N)			7	2048	983	983	800	15	"gld,mul=1536"	10	Act 1 (H) Equip A	104	Act 1 (H) Junk	10	Act 1 (H) Good	3																0
Baal (H)			7	2048	983	983	800	15	"gld,mul=2048"	10	Act 5 (H) Equip B	104	Act 5 (H) Junk	10	Act 5 (H) Good	3																0
Baalq			7	2048	993	1024	800	15	Act 1 (N) Equip A	104	Act 1 (N) Good	6																				0
Baalq (N)			7	2048	993	1024	800	15	Act 1 (H) Equip A	104	Act 1 (H) Good	6																				0
Baalq (H)			7	2048	993	1024	800	15	Act 5 (H) Equip B	104	Act 5 (H) Good	6																				0
Blood Raven			5	800	800	972	1024	19	"gld,mul=1280"	28	Act 1 Equip B	38	Act 1 Junk	10	Act 1 Good	3																0
Blood Raven (N)			5	800	800	972	1024	19	"gld,mul=1536"	28	Act 1 (N) Equip B	38	Act 1 (N) Junk	10	Act 1 (N) Good	3																0
Blood Raven (H)			5	800	800	972	1024	19	"gld,mul=2048"	28	Act 1 (H) Equip B	38	Act 1 (H) Junk	10	Act 1 (H) Good	3																0
Smith			-3					0	Act 1 Uitem C	2	Act 1 Melee B	4																				0
Smith (N)			-3					0	Act 1 (H) Uitem C	2	Act 1 (N) Melee B	4																				0
Smith (H)			-3					0	Act 1 (H) Uitem C	2	Act 1 (H) Melee B	4																				0
Izual			5	800	800	972	1024	19	"gld,mul=1280"	28	Act 4 Equip B	38	Act 4 Junk	10	Act 4 Good	3																0
Izual (N)			5	800	800	972	1024	19	"gld,mul=1536"	28	Act 4 (N) Equip B	38	Act 4 (N) Junk	10	Act 4 (N) Good	3																0
Izual (H)			5	800	800	972	1024	19	"gld,mul=2048"	28	Act 4 (H) Equip B	38	Act 4 (H) Junk	10	Act 4 (H) Good	3																0
Act 1 Super A	18	0	-4	800	800	1024	1024	0	Act 1 Uitem A	4	Act 1 Cpot A	4																				0
Act 1 Super B	18	12	-4	800	800	1024	1024	0	Act 1 Uitem B	4	Act 1 Cpot B	4																				0
Act 1 Super C	18	22	-4	800	800	1024	1024	0	Act 1 Uitem C	4	Act 1 Cpot C	4																				0
Act 2 Super A	18	29	-4	800	800	1024	1024	0	Act 2 Uitem A	4	Act 2 Cpot A	4																				0
Act 2 Super B	18	36	-4	800	800	1024	1024	0	Act 2 Uitem B	4	Act 2 Cpot B	4																				0
Act 2 Super C	18	43	-4	800	800	1024	1024	0	Act 2 Uitem C	4	Act 2 Cpot C	4																				0
Act 3 Super A	18	48	-4	800	800	1024	1024	0	Act 3 Uitem A	4	Act 3 Cpot A	4																				0
Act 3 Super B	18	53	-4	800	800	1024	1024	0	Act 3 Uitem B	4	Act 3 Cpot B	4																				0
Act 3 Super C	18	58	-4	800	800	1024	1024	0	Act 3 Uitem C	4	Act 3 Cpot C	4																				0
Act 4 Super A	18	62	-4	800	800	1024	1024	0	Act 4 Uitem A	4	Act 4 Cpot A	4																				0
Act 4 Super B	18	70	-4	800	800	1024	1024	0	Act 4 Uitem B	4	Act 4 Cpot B	4																				0
Act 4 Super C	18	77	-4	800	800	1024	1024	0	Act 4 Uitem B	4	Act 4 Cpot B	4																				0
Act 5 Super A	18	82	-4	800	800	1024	1024	0	Act 5 Uitem A	4	Act 5 Cpot A	4																				0
Act 5 Super B	18	86	-4	800	800	1024	1024	0	Act 5 Uitem B	4	Act 5 Cpot B	4																				0
Act 5 Super C	18	91	-4	800	800	1024	1024	0	Act 5 Uitem C	4	Act 5 Cpot C	4																				0
Act 1 (N) Super A	18	96	-4	800	1024	900	1024	0	Act 1 (N) Uitem A	4	Act 1 (N) Cpot A	4																				0
Act 1 (N) Super B	18	98	-4	800	1024	900	1024	0	Act 1 (N) Uitem B	4	Act 1 (N) Cpot B	4																				0
Act 1 (N) Super C	18	101	-4	800	1024	900	1024	0	Act 1 (N) Uitem C	4	Act 1 (N) Cpot C	4																				0
Act 2 (N) Super A	18	106	-4	800	1024	900	1024	0	Act 2 (N) Uitem A	4	Act 2 (N) Cpot A	4																				0
Act 2 (N) Super B	18	108	-4	800	1024	900	1024	0	Act 2 (N) Uitem B	4	Act 2 (N) Cpot B	4																				0
Act 2 (N) Super C	18	110	-4	800	1024	900	1024	0	Act 2 (N) Uitem C	4	Act 2 (N) Cpot C	4																				0
Act 3 (N) Super A	18	115	-4	800	1024	900	1024	0	Act 3 (N) Uitem A	4	Act 3 (N) Cpot A	4																				0
Act 3 (N) Super B	18	120	-4	800	1024	900	1024	0	Act 3 (N) Uitem B	4	Act 3 (N) Cpot B	4																				0
Act 3 (N) Super C	18	122	-4	800	1024	900	1024	0	Act 3 (N) Uitem C	4	Act 3 (N) Cpot C	4																				0
Act 4 (N) Super A	18	130	-4	800	1024	900	1024	0	Act 4 (N) Uitem A	4	Act 4 (N) Cpot A	4																				0
Act 4 (N) Super B	18	137	-4	800	1024	900	1024	0	Act 4 (N) Uitem B	4	Act 4 (N) Cpot B	4																				0
Act 4 (N) Super C	18	144	-4	800	1024	900	1024	0	Act 4 (N) Uitem B	4	Act 4 (N) Cpot B	4																				0
Act 5 (N) Super A	18	149	-4	800	1024	900	1024	0	Act 5 (N) Uitem A	4	Act 5 (N) Cpot A	4																				0
Act 5 (N) Super B	18	151	-4	800	1024	900	1024	0	Act 5 (N) Uitem B	4	Act 5 (N) Cpot B	4																				0
Act 5 (N) Super C	18	158	-4	800	1024	900	1024	0	Act 5 (N) Uitem C	4	Act 5 (N) Cpot C	4																				0
Act 1 (H) Super A	18	161	-4	800	1024	900	1024	0	Act 1 (H) Uitem A	4	Act 1 (H) Cpot A	4																				0
Act 1 (H) Super B	18	161	-4	1024	900	800	1024	0	Act 1 (H) Uitem B	4	Act 1 (H) Cpot B	4																				0
Act 1 (H) Super C	18	163	-4	1024	900	800	1024	0	Act 1 (H) Uitem C	4	Act 1 (H) Cpot C	4																				0
Act 2 (H) Super A	18	163	-4	1024	900	800	1024	0	Act 2 (H) Uitem A	4	Act 2 (H) Cpot A	4																				0
Act 2 (H) Super B	18	166	-4	1024	900	800	1024	0	Act 2 (H) Uitem B	4	Act 2 (H) Cpot B	4																				0
Act 2 (H) Super C	18	173	-4	1024	900	800	1024	0	Act 2 (H) Uitem C	4	Act 2 (H) Cpot C	4																				0
Act 3 (H) Super A	18	175	-4	1024	900	800	1024	0	Act 3 (H) Uitem A	4	Act 3 (H) Cpot A	4																				0
Act 3 (H) Super B	18	180	-4	1024	900	800	1024	0	Act 3 (H) Uitem B	4	Act 3 (H) Cpot B	4																				0
Act 3 (H) Super C	18	187	-4	1024	900	800	1024	0	Act 3 (H) Uitem C	4	Act 3 (H) Cpot C	4																				0
Act 4 (H) Super A	18	194	-4	1024	900	800	1024	0	Act 4 (H) Uitem A	4	Act 4 (H) Cpot A	4																				0
Act 4 (H) Super B	18	202	-4	1024	900	800	1024	0	Act 4 (H) Uitem B	4	Act 4 (H) Cpot B	4																				0
Act 4 (H) Super C	18	209	-4	1024	900	800	1024	0	Act 4 (H) Uitem B	4	Act 4 (H) Cpot B	4																				0
Act 5 (H) Super A	18	216	-4	1024	900	800	1024	0	Act 5 (H) Uitem A	4	Act 5 (H) Cpot A	4																				0
Act 5 (H) Super B	18	223	-4	1024	900	800	1024	0	Act 5 (H) Uitem B	4	Act 5 (H) Cpot B	4																				0
Act 5 (H) Super C	18	230	-4	1024	900	800	1024	0	Act 5 (H) Uitem C	4	Act 5 (H) Cpot C	4																				0
Act 1 Super Ax	18	0	-4	800	972	1024	1024	0	Act 1 Uitem A	4	Act 1 Cpot A	4																				0
Act 1 Super Bx	18	12	-4	800	972	1024	1024	0	Act 1 Uitem B	4	Act 1 Cpot B	4																				0
Act 1 Super Cx	18	22	-4	800	972	1024	1024	0	Act 1 Uitem C	4	Act 1 Cpot C	4																				0
Act 2 Super Ax	18	29	-4	800	972	1024	1024	0	Act 2 Uitem A	4	Act 2 Cpot A	4																				0
Act 2 Super Bx	18	36	-4	800	972	1024	1024	0	Act 2 Uitem B	4	Act 2 Cpot B	4																				0
Act 2 Super Cx	18	43	-4	800	972	1024	1024	0	Act 2 Uitem C	4	Act 2 Cpot C	4																				0
Act 3 Super Ax	18	48	-4	800	972	1024	1024	0	Act 3 Uitem A	4	Act 3 Cpot A	4																				0
Act 3 Super Bx	18	53	-4	800	972	1024	1024	0	Act 3 Uitem B	4	Act 3 Cpot B	4																				0
Act 3 Super Cx	18	58	-4	800	972	1024	1024	0	Act 3 Uitem C	4	Act 3 Cpot C	4																				0
Act 4 Super Ax	18	62	-4	800	972	1024	1024	0	Act 4 Uitem A	4	Act 4 Cpot A	4																				0
Act 4 Super Bx	18	70	-4	800	972	1024	1024	0	Act 4 Uitem B	4	Act 4 Cpot B	4																				0
Act 4 Super Cx	18	77	-4	800	972	1024	1024	0	Act 4 Uitem B	4	Act 4 Cpot B	4																				0
Act 5 Super Ax	18	82	-4	800	972	1024	1024	0	Act 5 Uitem A	4	Act 5 Cpot A	4																				0
Act 5 Super Bx	18	86	-4	800	972	1024	1024	0	Act 5 Uitem B	4	Act 5 Cpot B	4																				0
Act 5 Super Cx	18	91	-4	800	972	1024	1024	0	Act 5 Uitem C	4	Act 5 Cpot C	4																				0
Act 1 (N) Super Ax	18	96	-4	800	972	1024	1024	0	Act 1 (N) Uitem A	4	Act 1 (N) Cpot A	4																				0
Act 1 (N) Super Bx	18	98	-4	800	972	1024	1024	0	Act 1 (N) Uitem B	4	Act 1 (N) Cpot B	4																				0
Act 1 (N) Super Cx	18	101	-4	800	972	1024	1024	0	Act 1 (N) Uitem C	4	Act 1 (N) Cpot C	4																				0
Act 2 (N) Super Ax	18	106	-4	800	972	1024	1024	0	Act 2 (N) Uitem A	4	Act 2 (N) Cpot A	4																				0
Act 2 (N) Super Bx	18	108	-4	800	972	1024	1024	0	Act 2 (N) Uitem B	4	Act 2 (N) Cpot B	4																				0
Act 2 (N) Super Cx	18	110	-4	800	972	1024	1024	0	Act 2 (N) Uitem C	4	Act 2 (N) Cpot C	4																				0
Act 3 (N) Super Ax	18	115	-4	800	972	1024	1024	0	Act 3 (N) Uitem A	4	Act 3 (N) Cpot A	4																				0
Act 3 (N) Super Bx	18	120	-4	800	972	1024	1024	0	Act 3 (N) Uitem B	4	Act 3 (N) Cpot B	4																				0
Act 3 (N) Super Cx	18	122	-4	800	972	1024	1024	0	Act 3 (N) Uitem C	4	Act 3 (N) Cpot C	4																				0
Act 4 (N) Super Ax	18	130	-4	800	972	1024	1024	0	Act 4 (N) Uitem A	4	Act 4 (N) Cpot A	4																				0
Act 4 (N) Super Bx	18	137	-4	800	972	1024	1024	0	Act 4 (N) Uitem B	4	Act 4 (N) Cpot B	4																				0
Act 4 (N) Super Cx	18	144	-4	800	972	1024	1024	0	Act 4 (N) Uitem B	4	Act 4 (N) Cpot B	4																				0
Act 5 (N) Super Ax	18	149	-4	800	972	1024	1024	0	Act 5 (N) Uitem A	4	Act 5 (N) Cpot A	4																				0
Act 5 (N) Super Bx	18	151	-4	800	972	1024	1024	0	Act 5 (N) Uitem B	4	Act 5 (N) Cpot B	4																				0
Act 5 (N) Super Cx	18	158	-4	800	972	1024	1024	0	Act 5 (N) Uitem C	4	Act 5 (N) Cpot C	4																				0
Act 1 (H) Super Ax	18	161	-4	800	972	1024	1024	0	Act 1 (H) Uitem A	4	Act 1 (H) Cpot A	4																				0
Act 1 (H) Super Bx	18	161	-4	800	972	1024	1024	0	Act 1 (H) Uitem B	4	Act 1 (H) Cpot B	4																				0
Act 1 (H) Super Cx	18	163	-4	800	972	1024	1024	0	Act 1 (H) Uitem C	4	Act 1 (H) Cpot C	4																				0
Act 2 (H) Super Ax	18	163	-4	800	972	1024	1024	0	Act 2 (H) Uitem A	4	Act 2 (H) Cpot A	4																				0
Act 2 (H) Super Bx	18	166	-4	800	972	1024	1024	0	Act 2 (H) Uitem B	4	Act 2 (H) Cpot B	4																				0
Act 2 (H) Super Cx	18	173	-4	800	972	1024	1024	0	Act 2 (H) Uitem C	4	Act 2 (H) Cpot C	4																				0
Act 3 (H) Super Ax	18	175	-4	800	972	1024	1024	0	Act 3 (H) Uitem A	4	Act 3 (H) Cpot A	4																				0
Act 3 (H) Super Bx	18	180	-4	800	972	1024	1024	0	Act 3 (H) Uitem B	4	Act 3 (H) Cpot B	4																				0
Act 3 (H) Super Cx	18	187	-4	800	972	1024	1024	0	Act 3 (H) Uitem C	4	Act 3 (H) Cpot C	4																				0
Act 4 (H) Super Ax	18	194	-4	800	972	1024	1024	0	Act 4 (H) Uitem A	4	Act 4 (H) Cpot A	4																				0
Act 4 (H) Super Bx	18	202	-4	800	972	1024	1024	0	Act 4 (H) Uitem B	4	Act 4 (H) Cpot B	4																				0
Act 4 (H) Super Cx	18	209	-4	800	972	1024	1024	0	Act 4 (H) Uitem B	4	Act 4 (H) Cpot B	4																				0
Act 5 (H) Super Ax	18	216	-4	800	972	1024	1024	0	Act 5 (H) Uitem A	4	Act 5 (H) Cpot A	4																				0
Act 5 (H) Super Bx	18	223	-4	800	972	1024	1024	0	Act 5 (H) Uitem B	4	Act 5 (H) Cpot B	4																				0
Act 5 (H) Super Cx	18	230	-4	800	972	1024	1024	0	Act 5 (H) Uitem C	4	Act 5 (H) Cpot C	4																				0
Cow King			5	850	983	983	1024	0	Act 1 Uitem C	2	Act 1 Melee B	4																				0
Cow King (N)			5	850	983	983	1024	0	Act 1 (H) Uitem C	2	Act 1 (N) Melee B	4																				0
Cow King (H)			5	850	983	983	1024	0	Act 1 (H) Uitem C	2	Act 1 (H) Melee B	4																				0
Duriel			-2					0	tsc	2	Duriel - Base	2																				0
Duriel (N)			-2					0	tsc	2	Duriel (N) - Base	2																				0
Duriel (H)			-2					0	tsc	2	Duriel (H) - Base	2																				0
Durielq			-2					0	tsc	2	Durielq - Base	2																				0
Durielq (N)			-2					0	tsc	2	Durielq (N) - Base	2																				0
Durielq (H)			-2					0	tsc	2	Durielq (H) - Base	2																				0
ROP			1	1024				0	Diablo	2																						0
ROP (N)			1	1024				0	Diablo (N)	8																						0
ROP (H)			1	1024				0	Diablo (H)	12																						0
Countess Rune			3					5	Runes 4	30																						0
Countess Rune (N)			3					5	Runes 8	30																						0
Countess Rune (H)			3					5	Runes 12	30																						0
Countess Item			5					19	"gld,mul=1280"	22	Act 1 Equip C	38	Act 2 Junk	15	Act 2 Good	3																0
Countess Item (N)			5					19	"gld,mul=1536"	22	Act 1 (N) Equip C	38	Act 2 (N) Junk	15	Act 2 (N) Good	3																0
Countess Item (H)			5					19	"gld,mul=2048"	22	Act 1 (H) Equip C	38	Act 2 (H) Junk	15	Act 2 (H) Good	3																0
Countess			-2	883	883	883	1024	0	Countess Item	200	Countess Rune	200																				0
Countess (N)			-2	883	883	983	1024	0	Countess Item (N)	200	Countess Rune (N)	200																				0
Countess (H)			-2	883	883	983	1024	0	Countess Item (H)	200	Countess Rune (H)	200																				0
